pair,total_return,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,total_trades,avg_trade_duration,profit_factor
XLE-USO,-50.05%,-13.20%,-0.76,-0.18,-56.98%,40.51%,9,137.3,0.44
GDX-GLD,9.79%,1.92%,0.43,0.19,-3.68%,52.78%,2,494.4,1.60
XLF-VFH,1.97%,0.40%,0.48,0.23,-1.14%,44.44%,11,107.5,1.40
QQQ-SPY,-3.69%,-0.76%,-0.47,-0.18,-5.22%,30.91%,4,274.7,0.69
KO-PEP,-15.02%,-3.26%,-0.60,-0.14,-18.07%,41.54%,9,130.1,0.56
WMT-TGT,-11.33%,-2.42%,-0.27,-0.09,-16.72%,39.77%,10,123.6,0.83
COST-WMT,-9.34%,-1.98%,-0.57,-0.18,-11.60%,35.29%,4,274.7,0.62
PG-CL,10.95%,2.14%,0.53,0.37,-3.52%,49.18%,3,353.1,1.69
JPM-BAC,-3.43%,-0.71%,-0.23,-0.09,-5.80%,42.86%,9,130.1,0.86
GS-MS,-9.76%,-2.07%,-0.52,-0.20,-16.39%,35.00%,3,353.1,0.65
BLK-BEN,-4.95%,-1.03%,-0.14,-0.05,-15.64%,36.00%,4,274.7,0.88
INTC-AMD,33.62%,6.09%,0.54,0.19,-17.04%,53.73%,6,190.2,1.62
NVDA-AMD,-5.07%,-1.06%,-0.04,-0.02,-19.43%,44.25%,14,85.2,0.98
NVDA-TSM,-4.61%,-0.96%,-0.04,-0.01,-27.75%,43.84%,7,164.8,0.97
TSM-UMC,-13.96%,-3.02%,-0.23,-0.09,-25.91%,40.20%,10,117.7,0.87
CVX-XOM,-8.67%,-1.83%,-0.54,-0.19,-10.87%,38.24%,4,274.7,0.68
PSX-VLO,4.38%,0.88%,0.24,0.07,-6.55%,50.00%,3,353.1,1.23
V-MA,4.13%,0.83%,0.26,0.10,-3.81%,48.68%,6,190.2,1.20
PYPL-SQ,-4.13%,-0.86%,-0.05,-0.02,-22.82%,41.38%,8,145.4,0.97
JNJ-PFE,-20.98%,-4.69%,-0.90,-0.22,-26.03%,33.33%,4,274.7,0.41
MRK-LLY,16.62%,3.18%,0.73,0.31,-4.28%,61.54%,3,353.1,1.91
UNH-CVS,3.83%,0.77%,0.16,0.06,-8.07%,42.50%,11,107.5,1.12
AAL-UAL,-10.26%,-2.18%,-0.51,-0.11,-16.90%,42.42%,0,2472.0,0.58
DAL-LUV,5.91%,1.18%,0.31,0.09,-6.02%,54.29%,0,2472.0,1.39
TSLA-GM,-67.05%,-20.26%,-1.10,-0.31,-67.05%,27.45%,4,274.7,0.34
F-TM,13.69%,2.65%,0.53,0.32,-5.07%,51.35%,2,494.4,2.23
AMZN-WMT,-27.65%,-6.39%,-0.74,-0.22,-30.82%,32.35%,5,224.7,0.51
EBAY-ETSY,-18.11%,-3.99%,-0.25,-0.09,-32.20%,44.57%,9,130.1,0.85
MSFT-GOOGL,-3.96%,-0.82%,-0.19,-0.04,-10.98%,47.62%,1,824.0,0.81
CRM-ORCL,-12.34%,-2.65%,-0.49,-0.18,-19.00%,39.06%,5,224.7,0.69
T-VZ,-2.20%,-0.45%,-0.16,-0.05,-6.40%,49.06%,3,353.1,0.88
TMUS-VOD,-32.88%,-7.81%,-0.97,-0.27,-37.08%,36.36%,5,224.7,0.45
SPG-MAC,-38.26%,-9.36%,-0.69,-0.18,-44.72%,40.00%,6,190.2,0.55
